date,district,cases
2014-07-12,Bombali,0.0
2014-07-12,W/Rural,0.0
2014-07-12,Bonthe,0.0
2014-07-12,W/Urban,1.0
2014-07-12,Bo,0.0
2014-07-12,Mayamba,0.0
2014-07-12,Kailahun,8.0
2014-07-12,Pujehun,0.0
2014-07-12,Kenema,3.0
2014-07-12,Koinadugu,0.0
2014-07-13,Koinadugu,0.0
2014-07-13,Kambia,0.0
2014-07-13,Bo,0.0
2014-07-13,Bombali,0.0
2014-07-13,Kono,0.0
2014-07-13,Port Loko,0.0
2014-07-13,W/Rural,0.0
2014-07-13,Bonthe,0.0
2014-07-13,Kenema,0.0
2014-07-13,Mayamba,0.0
2014-07-13,W/Urban,0.0
2014-07-13,Kailahun,0.0
2014-07-13,Pujehun,0.0
2014-07-13,Tonkolili,0.0
2014-07-14,Port Loko,0.0
2014-07-14,W/Urban,0.0
2014-07-14,Koinadugu,0.0
2014-07-14,Kenema,10.0
2014-07-14,Bo,0.0
2014-07-14,Kambia,0.0
2014-07-14,Bonthe,0.0
2014-07-14,Kono,0.0
2014-07-14,W/Rural,0.0
2014-07-14,Pujehun,0.0
2014-07-14,Tonkolili,0.0
2014-07-14,Kailahun,5.0
2014-07-14,Bombali,0.0
2014-07-14,Mayamba,0.0
2014-07-15,W/Rural,0.0
2014-07-15,Kono,0.0
2014-07-15,Tonkolili,0.0
2014-07-15,Koinadugu,0.0
2014-07-15,Bo,0.0
2014-07-15,Kenema,0.0
2014-07-15,Bombali,0.0
2014-07-15,Bonthe,0.0
2014-07-15,Mayamba,0.0
2014-07-15,Kambia,0.0
2014-07-15,Pujehun,0.0
2014-07-15,W/Urban,0.0
2014-07-15,Port Loko,0.0
2014-07-15,Kailahun,0.0
2014-07-16,Kailahun,0.0
2014-07-16,Bombali,0.0
2014-07-16,W/Urban,0.0
2014-07-16,Kono,0.0
2014-07-16,Mayamba,0.0
2014-07-16,Kenema,0.0
2014-07-16,W/Rural,0.0
2014-07-16,Bonthe,0.0
2014-07-16,Koinadugu,0.0
2014-07-16,Pujehun,0.0
2014-07-16,Kambia,0.0
2014-07-16,Bo,0.0
2014-07-16,Port Loko,0.0
2014-07-16,Tonkolili,0.0
2014-07-17,Koinadugu,0.0
2014-07-17,W/Urban,0.0
2014-07-17,W/Rural,0.0
2014-07-17,Kambia,0.0
2014-07-17,Kailahun,0.0
2014-07-17,Bombali,0.0
2014-07-17,Kenema,0.0
2014-07-17,Bo,0.0
2014-07-17,Bonthe,0.0
2014-07-17,Pujehun,0.0
2014-07-17,Port Loko,0.0
2014-07-17,Tonkolili,0.0
2014-07-17,Kono,0.0
2014-07-17,Mayamba,0.0
2014-07-18,Bo,0.0
2014-07-18,W/Rural,0.0
2014-07-18,Kenema,0.0
2014-07-18,W/Urban,0.0
2014-07-18,Kono,0.0
2014-07-18,Kailahun,0.0
2014-07-18,Bombali,0.0
2014-07-18,Port Loko,0.0
2014-07-18,Tonkolili,0.0
2014-07-18,Koinadugu,0.0
2014-07-18,Mayamba,0.0
2014-07-18,Pujehun,0.0
2014-07-18,Bonthe,0.0
2014-07-18,Kambia,0.0
2014-07-19,Kailahun,2.0
2014-07-19,Port Loko,0.0
2014-07-19,Bonthe,0.0
2014-07-19,Mayamba,0.0
2014-07-19,Pujehun,0.0
2014-07-19,W/Rural,0.0
2014-07-19,W/Urban,0.0
2014-07-19,Bombali,0.0
2014-07-19,Tonkolili,0.0
2014-07-19,Bo,0.0
2014-07-19,Koinadugu,0.0
2014-07-19,Kenema,3.0
2014-07-19,Kambia,0.0
2014-07-19,Kono,0.0
2014-07-20,Kono,0.0
2014-07-20,Kambia,1.0
2014-07-20,Mayamba,0.0
2014-07-20,Kenema,1.0
2014-07-20,Bo,0.0
2014-07-20,Pujehun,0.0
2014-07-20,Tonkolili,0.0
2014-07-20,W/Urban,0.0
2014-07-20,Bombali,0.0
2014-07-20,W/Rural,0.0
2014-07-20,Koinadugu,0.0
2014-07-20,Port Loko,0.0
2014-07-20,Bonthe,0.0
2014-07-20,Kailahun,2.0
2014-07-21,Mayamba,0.0
2014-07-21,Bonthe,0.0
2014-07-21,Bo,0.0
2014-07-21,Kenema,0.0
2014-07-21,Pujehun,0.0
2014-07-21,Kono,0.0
2014-07-21,Bombali,0.0
2014-07-21,Tonkolili,0.0
2014-07-21,W/Urban,0.0
2014-07-21,Kambia,0.0
2014-07-21,Koinadugu,0.0
2014-07-21,W/Rural,0.0
2014-07-21,Kailahun,0.0
2014-07-21,Port Loko,0.0
2014-07-22,Port Loko,0.0
2014-07-22,W/Urban,0.0
2014-07-22,Kambia,0.0
2014-07-22,Bo,0.0
2014-07-22,Pujehun,0.0
2014-07-22,Kailahun,0.0
2014-07-22,Bonthe,0.0
2014-07-22,Bombali,0.0
2014-07-22,W/Rural,0.0
2014-07-22,Koinadugu,0.0
2014-07-22,Kenema,0.0
2014-07-22,Tonkolili,0.0
2014-07-22,Mayamba,0.0
2014-07-22,Kono,0.0
2014-07-23,Bonthe,0.0
2014-07-23,W/Rural,0.0
2014-07-23,Koinadugu,0.0
2014-07-23,Kambia,0.0
2014-07-23,W/Urban,1.0
2014-07-23,Port Loko,0.0
2014-07-23,Mayamba,1.0
2014-07-23,Tonkolili,0.0
